Parameter,Category,Subcategory,Model Types,Type,Default,Constraints,Priority,Version,Description
task_type,Pipeline Control,Task Routing,"detection,classification,llm_finetune",string,,Required,P0,v1,Discriminator that routes all task-specific logic (eval metric selection; HP adjustment strategy; export format)
user_id,Pipeline Control,Identity,"detection,classification,llm_finetune",string,,Required,P0,v1,Clarifai user ID for platform operations
app_id,Pipeline Control,Identity,"detection,classification,llm_finetune",string,,Required,P0,v1,Clarifai application ID for platform operations
model_id,Pipeline Control,Identity,"detection,classification,llm_finetune",string,test_model,,P0,v1,Target model identifier for export and registration
dataset_id,Pipeline Control,Data,"detection,classification",string,,Required for vision,P0,v1,Clarifai dataset ID containing training data
dataset_version_id,Pipeline Control,Data,"detection,classification",string,"",,P1,v1,Specific dataset version for reproducible training
concepts,Pipeline Control,Data,"detection,classification",string (JSON),"[""bird"",""cat""]",,P0,v1,JSON list of target classes/concepts
dataset_name,Pipeline Control,Data,llm_finetune,string,mlabonne/FineTome-100k,,P0,v1,HuggingFace dataset name for LLM fine-tuning
seed,Shared Training,Reproducibility,"detection,classification,llm_finetune",int,-1,-1 to 999999,P1,v1,Random seed (-1 = no fixed seed)
num_epochs,Shared Training,Duration,"detection,classification,llm_finetune",int,varies by task,1–1000,P0,v1,"Training epochs per iteration (detection: 100, classification: 200, LLM: 1)"
batch_size,Shared Training,Batch,"detection,classification,llm_finetune",int,varies by task,1–256,P0,v1,"Per-device training batch size (detection: 16, classification: 64, LLM: 4)"
pretrained_weights,Shared Training,Initialization,"detection,classification",string,coco / ImageNet-1k,"coco,ImageNet-1k,None",P0,v1,Pretrained weight source for transfer learning
base_model_name,Shared Training,Initialization,llm_finetune,string,unsloth/Qwen3-0.6B,,P0,v1,HuggingFace model ID for base LLM
weight_decay,Shared Training,Regularization,"detection,classification,llm_finetune",float,varies,0.0–1.0,P1,v1,"L2 regularization strength (detection: 0.0001, classification: 0.01, LLM: 0.01)"
warmup_ratio,Shared Training,LR Schedule,"classification,llm_finetune",float,varies,0.0–1.0,P1,v1,"Fraction of total steps used for LR warmup (classification: 0.0001, LLM: 0.06)"
warmup_iters,Shared Training,LR Schedule,classification,int,5,0–1000,P2,v1,Number of warmup iterations (classification only; alternative to warmup_ratio)
per_item_lrate,Vision Training,Learning Rate,"detection,classification",float,varies,0.0–1.0,P0,v1,"Per-item learning rate; effective_lr = batch_size × num_gpus × per_item_lrate (detection: 0.001875, classification: 1.95e-5)"
per_item_min_lrate,Vision Training,Learning Rate,classification,float,1.5625e-8,0.0–1.0,P2,v1,Minimum learning rate at end of cosine schedule
frozen_stages,Vision Training,Backbone,detection,int,1,0–4,P0,v1,Number of frozen ResNet backbone stages (higher = more frozen; 0 = fully trainable)
image_size,Vision Training,Input,"detection,classification",string / int,"[512] / 224",32–1024,P0,v1,"Input image dimensions (detection: [min_side] or [H,W]; classification: single int for square crop)"
max_aspect_ratio,Vision Training,Input,detection,float,1.5,1.0–5.0,P1,v1,Maximum aspect ratio multiplier when preserving aspect ratio
keep_aspect_ratio,Vision Training,Input,detection,bool,true,,P1,v1,Whether to preserve original image aspect ratio during resize
flip_probability,Vision Training,Augmentation,classification,float,0.5,0.0–1.0,P2,v1,Probability of random horizontal/vertical flip during training
flip_direction,Vision Training,Augmentation,classification,string,horizontal,"horizontal,vertical",P2,v1,Direction of random flip augmentation
concepts_mutually_exclusive,Vision Training,Labels,classification,bool,false,,P1,v1,Whether classes are mutually exclusive (single-label) or multi-label
min_samples_per_epoch,Vision Training,Data,detection,int,300,1–10000,P1,v1,Minimum number of data samples per training epoch
inference_max_batch_size,Vision Training,Benchmark,"detection,classification",int,2,1–32,P1,v1,Batch size used for GPU memory benchmarking during export
learning_rate,LLM Training,Learning Rate,llm_finetune,float,2e-4,1e-6 to 1e-2,P0,v1,Peak learning rate for LLM fine-tuning (direct value; not per-item)
lr_scheduler_type,LLM Training,LR Schedule,llm_finetune,string,cosine,"cosine,linear,constant",P1,v1,Learning rate decay schedule type
lora_r,LLM Training,LoRA,llm_finetune,int,16,"4,8,16,32,64,128",P0,v1,LoRA adapter rank — controls adapter capacity (higher = more expressive but more VRAM)
lora_alpha,LLM Training,LoRA,llm_finetune,int,16,1–128,P1,v1,LoRA scaling factor — typically set equal to lora_r
lora_dropout,LLM Training,LoRA,llm_finetune,float,0.0,0.0–0.5,P1,v1,Dropout applied to LoRA adapter layers for regularization
gradient_accumulation_steps,LLM Training,Batch,llm_finetune,int,4,1–64,P1,v1,Number of gradient accumulation steps; effective_batch = batch_size × grad_accum
max_seq_length,LLM Training,Input,llm_finetune,int,2048,128–8192,P0,v1,Maximum input sequence length for tokenization
load_in_4bit,LLM Training,Quantization,llm_finetune,bool,true,,P1,v1,Whether to load base model in 4-bit quantization (saves ~75% VRAM)
max_steps,LLM Training,Duration,llm_finetune,int,-1,-1 or 1+,P2,v1,Override num_epochs with fixed step count (-1 = use num_epochs)
logging_steps,LLM Training,Monitoring,llm_finetune,int,10,1–1000,P2,v1,Log training metrics every N steps
save_steps,LLM Training,Checkpointing,llm_finetune,int,100,1–10000,P2,v1,Save checkpoint every N steps
metric_threshold,Autoloop Control,Decision,"detection,classification,llm_finetune",float,varies by task,0.0–inf,P0,v1,"Generic threshold replacing ap_threshold — metric must pass this to accept model (detection AP: 0.50, classification accuracy: 0.85, LLM eval_loss: 1.5)"
max_retrain_iterations,Autoloop Control,Loop,"detection,classification,llm_finetune",int,3,1–10,P0,v1,Maximum number of retrain attempts before declaring failure
primary_metric,Autoloop Control,Decision,"detection,classification,llm_finetune",string,auto,,P0,v1,"Metric used for threshold comparison — 'auto' resolves to AP (detection), accuracy (classification), eval_loss (LLM)"
metric_direction,Autoloop Control,Decision,"detection,classification,llm_finetune",string,auto,"maximize,minimize,auto",P1,v1,"Whether higher or lower metric is better — auto: maximize for AP/accuracy, minimize for loss"
